,onset,trial_type,duration
1,0.5802358549587576,cue_a,0.5
2,1.0802358549587576,delay,1.5
3,2.5802358549587576,stim_ax,1.0
6,4.835041062325978,cue_a,0.5
7,5.335041062325978,delay,1.5
8,6.835041062325978,stim_ay,1.0
11,8.957063756025487,cue_a,0.5
12,9.457063756025487,delay,3.0
13,12.457063756025487,stim_ax,1.0
16,15.096955255967847,cue_b,0.5
17,15.596955255967847,delay,4.5
18,20.09695525596785,stim_bx,1.0
21,22.28844417756784,cue_a,0.5
22,22.78844417756784,delay,4.5
23,27.28844417756784,stim_ay,1.0
26,29.358928606297024,cue_a,0.5
27,29.858928606297024,delay,3.0
28,32.85892860629703,stim_ay,1.0
31,35.22851960048023,cue_b,0.5
32,35.72851960048023,delay,3.0
33,38.72851960048023,stim_by,1.0
36,40.83540530334191,cue_b,0.5
37,41.33540530334191,delay,3.0
38,44.33540530334191,stim_by,1.0
41,46.6978782917961,cue_a,0.5
42,47.1978782917961,delay,4.5
43,51.6978782917961,stim_ax,1.0
46,54.92555011483925,cue_b,0.5
47,55.42555011483925,delay,1.5
48,56.92555011483925,stim_bx,1.0
51,59.25912535398995,cue_a,0.5
52,59.75912535398995,delay,1.5
53,61.25912535398995,stim_ay,1.0
56,63.29633477611947,cue_a,0.5
57,63.79633477611947,delay,3.0
58,66.79633477611947,stim_ax,1.0
61,69.65036324447674,cue_b,0.5
62,70.15036324447674,delay,3.0
63,73.15036324447674,stim_by,1.0
66,76.15081721489145,cue_a,0.5
67,76.65081721489145,delay,1.5
68,78.15081721489145,stim_ax,1.0
71,81.12601736527904,cue_b,0.5
72,81.62601736527904,delay,4.5
73,86.12601736527904,stim_by,1.0
76,88.44944910202739,cue_a,0.5
77,88.94944910202739,delay,3.0
78,91.94944910202739,stim_ax,1.0
81,94.73941207227034,cue_a,0.5
82,95.23941207227034,delay,3.0
83,98.23941207227034,stim_ax,1.0
86,100.26252454112932,cue_b,0.5
87,100.76252454112932,delay,4.5
88,105.26252454112932,stim_by,1.0
91,107.2949465191652,cue_a,0.5
92,107.7949465191652,delay,3.0
93,110.7949465191652,stim_ax,1.0
96,113.04075842804625,cue_a,0.5
97,113.54075842804625,delay,4.5
98,118.04075842804625,stim_ax,1.0
101,120.10381228632136,cue_b,0.5
102,120.60381228632136,delay,4.5
103,125.10381228632136,stim_by,1.0
106,127.20023452893273,cue_b,0.5
107,127.70023452893273,delay,1.5
108,129.20023452893273,stim_bx,1.0
111,131.88920527271006,cue_a,0.5
112,132.38920527271006,delay,3.0
113,135.38920527271006,stim_ax,1.0
116,138.35151782039938,cue_a,0.5
117,138.85151782039938,delay,4.5
118,143.35151782039938,stim_ax,1.0
121,146.5996128965159,cue_a,0.5
122,147.0996128965159,delay,4.5
123,151.5996128965159,stim_ay,1.0
126,153.8429749994153,cue_a,0.5
127,154.3429749994153,delay,3.0
128,157.3429749994153,stim_ax,1.0
131,159.73400752711845,cue_b,0.5
132,160.23400752711845,delay,3.0
133,163.23400752711845,stim_bx,1.0
136,166.7794848101247,cue_b,0.5
137,167.2794848101247,delay,4.5
138,171.7794848101247,stim_by,1.0
141,174.25355303705837,cue_a,0.5
142,174.75355303705837,delay,3.0
143,177.75355303705837,stim_ax,1.0
146,181.0872789866092,cue_a,0.5
147,181.5872789866092,delay,1.5
148,183.0872789866092,stim_ay,1.0
151,185.09903994148854,cue_a,0.5
152,185.59903994148854,delay,1.5
153,187.09903994148854,stim_ax,1.0
156,189.36420217366438,cue_b,0.5
157,189.86420217366438,delay,4.5
158,194.36420217366438,stim_bx,1.0
161,196.68342458199007,cue_b,0.5
162,197.18342458199007,delay,3.0
163,200.18342458199007,stim_bx,1.0
166,202.77541609717002,cue_a,0.5
167,203.27541609717002,delay,1.5
168,204.77541609717002,stim_ay,1.0
171,206.9300967315624,cue_b,0.5
172,207.4300967315624,delay,1.5
173,208.9300967315624,stim_by,1.0
176,211.8510685073758,cue_b,0.5
177,212.3510685073758,delay,3.0
178,215.3510685073758,stim_bx,1.0
181,218.0223502685604,cue_b,0.5
182,218.5223502685604,delay,4.5
183,223.0223502685604,stim_by,1.0
186,225.1713959153242,cue_a,0.5
187,225.6713959153242,delay,3.0
188,228.6713959153242,stim_ax,1.0
191,230.910336908934,cue_a,0.5
192,231.410336908934,delay,4.5
193,235.910336908934,stim_ax,1.0
196,238.31664228568405,cue_a,0.5
197,238.81664228568405,delay,1.5
198,240.31664228568405,stim_ax,1.0
201,242.7184925570217,cue_a,0.5
202,243.2184925570217,delay,4.5
203,247.7184925570217,stim_ay,1.0
206,251.2530856590306,cue_b,0.5
207,251.7530856590306,delay,4.5
208,256.2530856590306,stim_bx,1.0
211,259.45357894857267,cue_b,0.5
212,259.95357894857267,delay,1.5
213,261.45357894857267,stim_bx,1.0
216,263.88646015955453,cue_b,0.5
217,264.38646015955453,delay,1.5
218,265.88646015955453,stim_bx,1.0
221,268.2025690549749,cue_a,0.5
222,268.7025690549749,delay,3.0
223,271.7025690549749,stim_ay,1.0
226,273.9281781368466,cue_b,0.5
227,274.4281781368466,delay,1.5
228,275.9281781368466,stim_by,1.0
231,278.93411355265346,cue_a,0.5
232,279.43411355265346,delay,3.0
233,282.43411355265346,stim_ax,1.0
236,284.7438446805891,cue_a,0.5
237,285.2438446805891,delay,1.5
238,286.7438446805891,stim_ay,1.0
241,289.22698755399927,cue_a,0.5
242,289.72698755399927,delay,1.5
243,291.22698755399927,stim_ax,1.0
246,294.335846418265,cue_a,0.5
247,294.835846418265,delay,4.5
248,299.335846418265,stim_ax,1.0
251,306.835846418265,break_message,4.0
254,317.7188492035961,cue_b,0.5
