,onset,trial_type,duration
1,0.5155749602381232,cue_b,0.5
2,1.0155749602381232,delay,4.5
3,5.515574960238123,stim_by,1.0
6,7.544149398973393,cue_a,0.5
7,8.044149398973392,delay,1.5
8,9.544149398973392,stim_ax,1.0
11,12.78169570389326,cue_a,0.5
12,13.28169570389326,delay,3.0
13,16.28169570389326,stim_ax,1.0
16,18.795812112020386,cue_a,0.5
17,19.295812112020386,delay,3.0
18,22.295812112020386,stim_ay,1.0
21,25.32504566469472,cue_b,0.5
22,25.82504566469472,delay,1.5
23,27.32504566469472,stim_bx,1.0
26,30.099101143813925,cue_b,0.5
27,30.599101143813925,delay,3.0
28,33.599101143813925,stim_bx,1.0
31,35.62956147357503,cue_a,0.5
32,36.12956147357503,delay,1.5
33,37.62956147357503,stim_ay,1.0
36,39.80933236700707,cue_a,0.5
37,40.30933236700707,delay,4.5
38,44.80933236700707,stim_ay,1.0
41,47.27830375081593,cue_b,0.5
42,47.77830375081593,delay,3.0
43,50.77830375081593,stim_by,1.0
46,52.97856664923439,cue_a,0.5
47,53.47856664923439,delay,1.5
48,54.97856664923439,stim_ax,1.0
51,57.35094419325044,cue_a,0.5
52,57.85094419325044,delay,3.0
53,60.85094419325044,stim_ax,1.0
56,62.93228405732328,cue_a,0.5
57,63.43228405732328,delay,3.0
58,66.43228405732327,stim_ax,1.0
61,69.26318657416256,cue_b,0.5
62,69.76318657416256,delay,1.5
63,71.26318657416256,stim_bx,1.0
66,74.17385623174293,cue_a,0.5
67,74.67385623174293,delay,1.5
68,76.17385623174293,stim_ay,1.0
71,79.92686658274037,cue_a,0.5
72,80.42686658274037,delay,4.5
73,84.92686658274037,stim_ax,1.0
76,88.46666713361574,cue_a,0.5
77,88.96666713361574,delay,3.0
78,91.96666713361574,stim_ax,1.0
81,94.12581264247952,cue_b,0.5
82,94.62581264247952,delay,3.0
83,97.62581264247952,stim_bx,1.0
86,100.38841827905546,cue_a,0.5
87,100.88841827905546,delay,4.5
88,105.38841827905546,stim_ax,1.0
91,107.67778706379492,cue_b,0.5
92,108.17778706379492,delay,1.5
93,109.67778706379492,stim_by,1.0
96,111.7396068114936,cue_a,0.5
97,112.2396068114936,delay,4.5
98,116.7396068114936,stim_ax,1.0
101,119.13879272356637,cue_b,0.5
102,119.63879272356637,delay,1.5
103,121.13879272356637,stim_by,1.0
106,123.23618437635845,cue_b,0.5
107,123.73618437635845,delay,3.0
108,126.73618437635845,stim_by,1.0
111,129.65078034877698,cue_a,0.5
112,130.15078034877698,delay,3.0
113,133.15078034877698,stim_ax,1.0
116,135.85635254680363,cue_a,0.5
117,136.35635254680363,delay,1.5
118,137.85635254680363,stim_ax,1.0
121,140.09435918411097,cue_b,0.5
122,140.59435918411097,delay,3.0
123,143.59435918411097,stim_bx,1.0
126,146.173004474545,cue_a,0.5
127,146.673004474545,delay,3.0
128,149.673004474545,stim_ay,1.0
131,153.4893305976685,cue_b,0.5
132,153.9893305976685,delay,3.0
133,156.9893305976685,stim_bx,1.0
136,159.47616462978593,cue_b,0.5
137,159.97616462978593,delay,4.5
138,164.47616462978593,stim_bx,1.0
141,166.62789711205696,cue_b,0.5
142,167.12789711205696,delay,3.0
143,170.12789711205696,stim_bx,1.0
146,172.6814811456301,cue_b,0.5
147,173.1814811456301,delay,4.5
148,177.6814811456301,stim_by,1.0
151,179.79156124227868,cue_a,0.5
152,180.29156124227868,delay,1.5
153,181.79156124227868,stim_ax,1.0
156,183.9651289568655,cue_a,0.5
157,184.4651289568655,delay,1.5
158,185.9651289568655,stim_ax,1.0
161,188.0320925978768,cue_a,0.5
162,188.5320925978768,delay,4.5
163,193.0320925978768,stim_ax,1.0
166,195.80275018409372,cue_a,0.5
167,196.30275018409372,delay,4.5
168,200.80275018409372,stim_ax,1.0
171,203.91862399539494,cue_a,0.5
172,204.41862399539494,delay,4.5
173,208.91862399539494,stim_ax,1.0
176,211.69723798136553,cue_b,0.5
177,212.19723798136553,delay,3.0
178,215.19723798136553,stim_bx,1.0
181,217.24027764290565,cue_b,0.5
182,217.74027764290565,delay,3.0
183,220.74027764290565,stim_by,1.0
186,223.33431341604086,cue_a,0.5
187,223.83431341604086,delay,4.5
188,228.33431341604086,stim_ay,1.0
191,230.86400119919605,cue_b,0.5
192,231.36400119919605,delay,4.5
193,235.86400119919605,stim_by,1.0
196,238.77530861834012,cue_a,0.5
197,239.27530861834012,delay,1.5
198,240.77530861834012,stim_ay,1.0
201,243.24903615408115,cue_a,0.5
202,243.74903615408115,delay,1.5
203,245.24903615408115,stim_ay,1.0
206,247.89214152971084,cue_b,0.5
207,248.39214152971084,delay,1.5
208,249.89214152971084,stim_bx,1.0
211,252.40734174632888,cue_b,0.5
212,252.90734174632888,delay,1.5
213,254.40734174632888,stim_by,1.0
216,256.6562044190776,cue_b,0.5
217,257.1562044190776,delay,4.5
218,261.6562044190776,stim_by,1.0
221,263.91631664373466,cue_a,0.5
222,264.41631664373466,delay,4.5
223,268.91631664373466,stim_ax,1.0
226,272.0224452825757,cue_a,0.5
227,272.5224452825757,delay,4.5
228,277.0224452825757,stim_ay,1.0
231,279.5453283012603,cue_a,0.5
232,280.0453283012603,delay,4.5
233,284.5453283012603,stim_ax,1.0
236,286.8438728057919,cue_a,0.5
237,287.3438728057919,delay,3.0
238,290.3438728057919,stim_ay,1.0
241,292.4423816740655,cue_a,0.5
242,292.9423816740655,delay,1.5
243,294.4423816740655,stim_ax,1.0
246,296.7186490241587,cue_a,0.5
247,297.2186490241587,delay,3.0
248,300.2186490241587,stim_ax,1.0
251,307.7186490241587,break_message,4.0
254,318.68353924596977,cue_a,0.5
255,319.18353924596977,delay,4.5
256,323.68353924596977,stim_ay,1.0
259,325.7000780295481,cue_b,0.5
260,326.2000780295481,delay,3.0
261,329.2000780295481,stim_by,1.0
264,331.7295861186829,cue_a,0.5
265,332.2295861186829,delay,3.0
266,335.2295861186829,stim_ax,1.0
269,337.4972283626686,cue_a,0.5
270,337.9972283626686,delay,3.0
271,340.9972283626686,stim_ax,1.0
274,343.1628338636707,cue_a,0.5
275,343.6628338636707,delay,4.5
276,348.1628338636707,stim_ay,1.0
279,350.3360094221812,cue_a,0.5
280,350.8360094221812,delay,3.0
281,353.8360094221812,stim_ax,1.0
284,355.97445700386294,cue_a,0.5
285,356.47445700386294,delay,1.5
286,357.97445700386294,stim_ax,1.0
289,360.5112204394753,cue_b,0.5
290,361.0112204394753,delay,3.0
291,364.0112204394753,stim_bx,1.0
294,366.32745238945006,cue_b,0.5
295,366.82745238945006,delay,3.0
296,369.82745238945006,stim_bx,1.0
299,372.0135009000825,cue_b,0.5
300,372.5135009000825,delay,3.0
301,375.5135009000825,stim_bx,1.0
304,377.7664544395186,cue_a,0.5
305,378.2664544395186,delay,4.5
306,382.7664544395186,stim_ax,1.0
309,384.9923191554316,cue_a,0.5
310,385.4923191554316,delay,4.5
311,389.9923191554316,stim_ax,1.0
314,392.7900351555626,cue_a,0.5
315,393.2900351555626,delay,3.0
316,396.2900351555626,stim_ax,1.0
319,398.9495155491878,cue_a,0.5
320,399.4495155491878,delay,1.5
321,400.9495155491878,stim_ay,1.0
324,403.07564433011345,cue_b,0.5
325,403.57564433011345,delay,1.5
326,405.07564433011345,stim_bx,1.0
329,407.1003093492018,cue_a,0.5
330,407.6003093492018,delay,4.5
331,412.1003093492018,stim_ay,1.0
334,414.11368473467303,cue_b,0.5
335,414.61368473467303,delay,4.5
336,419.11368473467303,stim_by,1.0
339,422.63788232600615,cue_a,0.5
340,423.13788232600615,delay,1.5
341,424.63788232600615,stim_ay,1.0
344,426.678854589045,cue_b,0.5
345,427.178854589045,delay,1.5
346,428.678854589045,stim_by,1.0
349,431.19036031238306,cue_a,0.5
350,431.69036031238306,delay,3.0
351,434.69036031238306,stim_ax,1.0
354,437.7544112124867,cue_a,0.5
355,438.2544112124867,delay,3.0
356,441.2544112124867,stim_ax,1.0
359,443.3313954633596,cue_a,0.5
360,443.8313954633596,delay,1.5
361,445.3313954633596,stim_ax,1.0
364,447.6794643453634,cue_a,0.5
365,448.1794643453634,delay,3.0
366,451.1794643453634,stim_ay,1.0
369,453.9337471754939,cue_a,0.5
370,454.4337471754939,delay,3.0
371,457.4337471754939,stim_ax,1.0
