,onset,trial_type,duration
1,0.7382658205987449,incongruent,1.0
4,2.7969857497620905,incongruent,1.0
7,5.419718827190266,congruent,1.0
10,7.502254177486822,congruent,1.0
13,9.902247932977174,congruent,1.0
16,14.022618489232176,congruent,1.0
19,16.237357726024445,congruent,1.0
22,18.697922171321085,incongruent,1.0
25,20.818894877909504,incongruent,1.0
28,22.950128312150664,incongruent,1.0
31,25.346319836761598,congruent,1.0
34,27.861516085383663,congruent,1.0
37,31.750196885784494,incongruent,1.0
40,33.848961223708464,congruent,1.0
43,36.166051579312786,congruent,1.0
46,38.1969371191821,congruent,1.0
49,41.37784049719537,incongruent,1.0
52,43.66339794678539,congruent,1.0
55,45.741206365023764,incongruent,1.0
58,47.94821430625477,congruent,1.0
61,49.981387995074826,incongruent,1.0
64,52.53093148480326,congruent,1.0
67,55.11124809921783,congruent,1.0
70,58.81880029876002,congruent,1.0
73,61.9558061456049,congruent,1.0
76,64.02652656825872,incongruent,1.0
79,66.07971438359972,incongruent,1.0
82,68.21691316268904,congruent,1.0
85,70.32231473748918,incongruent,1.0
88,72.51130941104019,incongruent,1.0
91,74.75694202071712,incongruent,1.0
94,76.87941760051929,congruent,1.0
97,78.92459328371966,incongruent,1.0
100,80.96221417690438,incongruent,1.0
103,83.10308886506978,congruent,1.0
106,85.46539879935416,incongruent,1.0
109,87.81924393080202,incongruent,1.0
112,90.12165022137368,congruent,1.0
115,92.47637543852422,incongruent,1.0
118,95.25247002038186,incongruent,1.0
121,102.75247002038186,break_message,4.0
124,115.63853792935313,incongruent,1.0
127,118.37834453710641,congruent,1.0
130,120.413500514086,congruent,1.0
133,122.51721897836715,congruent,1.0
136,125.4089020961734,congruent,1.0
139,128.48489406952564,congruent,1.0
142,130.82420405245406,incongruent,1.0
145,133.04328873592095,incongruent,1.0
148,135.0473429033952,congruent,1.0
151,137.2217163843454,congruent,1.0
154,139.64754499031733,incongruent,1.0
157,141.68674825460224,congruent,1.0
160,144.01160376422652,incongruent,1.0
163,146.42720713347475,incongruent,1.0
166,149.06406326719633,incongruent,1.0
169,151.51394954514552,incongruent,1.0
172,153.68760345933882,congruent,1.0
175,156.04321350514041,incongruent,1.0
178,158.10052415676253,congruent,1.0
181,160.23318804531695,congruent,1.0
184,162.3556630956149,congruent,1.0
187,164.85320772635717,congruent,1.0
190,166.95109406545177,incongruent,1.0
193,169.82439083822948,incongruent,1.0
196,172.92128455850178,incongruent,1.0
199,177.2872297037236,incongruent,1.0
202,179.3612009920938,incongruent,1.0
205,184.19552897330357,congruent,1.0
208,186.28044488181908,congruent,1.0
211,188.3780620782798,incongruent,1.0
214,190.7497571800694,incongruent,1.0
217,192.86397683908368,incongruent,1.0
220,195.67484344266117,incongruent,1.0
223,198.38126279383926,incongruent,1.0
226,200.95997181418235,congruent,1.0
229,203.58682332931818,incongruent,1.0
232,205.59426043737048,congruent,1.0
235,207.7264668915882,congruent,1.0
238,209.87860949100534,congruent,1.0
241,212.3105965144038,congruent,1.0
244,219.8105965144038,break_message,4.0
247,230.5850898148271,incongruent,1.0
250,234.41811994250943,congruent,1.0
253,236.6382913413679,incongruent,1.0
256,240.090445223589,congruent,1.0
259,242.3832282238578,incongruent,1.0
262,244.92722814151432,congruent,1.0
265,247.36601032873654,congruent,1.0
268,249.40427314754172,congruent,1.0
271,252.05658282439532,congruent,1.0
274,254.14960437336185,incongruent,1.0
277,256.4383372313548,incongruent,1.0
280,258.56731462909244,incongruent,1.0
283,261.4666729451702,congruent,1.0
286,263.9811894705442,incongruent,1.0
289,266.32273792692376,congruent,1.0
292,268.5313728134872,incongruent,1.0
295,271.41790823277074,congruent,1.0
298,273.76643726999697,congruent,1.0
301,275.8423115432964,incongruent,1.0
304,278.02207104981323,incongruent,1.0
307,280.02909739282444,congruent,1.0
310,283.05555777638534,incongruent,1.0
313,285.76709793218595,congruent,1.0
316,287.7986688268257,congruent,1.0
319,290.807405831776,incongruent,1.0
322,293.5122110678153,congruent,1.0
325,295.5740043049744,incongruent,1.0
328,297.88412041068386,incongruent,1.0
331,300.2558083059824,incongruent,1.0
334,302.4470142046986,incongruent,1.0
337,305.0120425067982,congruent,1.0
340,307.1629683955858,congruent,1.0
343,309.6257179070923,incongruent,1.0
346,311.79724453802487,congruent,1.0
349,313.94742386495625,incongruent,1.0
352,316.0000440494159,congruent,1.0
355,318.30301768295715,incongruent,1.0
358,320.5037537395003,incongruent,1.0
361,322.5047551947921,congruent,1.0
364,325.4170701119612,congruent,1.0
367,332.9170701119612,break_message,4.0
