,onset,trial_type,duration
1,1.9785301689839212,go,1.0
4,4.042941908494206,go,1.0
7,6.050417943911409,go,1.0
10,8.770083074332067,nogo,1.0
13,10.94645880457991,nogo,1.0
16,12.958457559373882,go,1.0
19,15.195521326680522,go,1.0
22,17.23555509845261,nogo,1.0
25,19.28665876442703,go,1.0
28,21.89893450972245,go,1.0
31,24.19195991007024,go,1.0
34,26.724120305482213,go,1.0
37,29.717315865641876,go,1.0
40,33.02859630810181,go,1.0
43,35.974341668420344,go,1.0
46,38.27880163086481,go,1.0
49,40.363223406057266,go,1.0
52,42.76911874965222,go,1.0
55,46.017184016070686,go,1.0
58,48.823411614289924,go,1.0
61,51.11090159627504,go,1.0
64,54.07056905219471,go,1.0
67,56.70678139887656,go,1.0
70,59.2280162978216,go,1.0
73,61.61543376527542,nogo,1.0
76,65.12088460018111,go,1.0
79,67.14162595608711,go,1.0
82,69.48004795469762,go,1.0
85,71.77420193418186,go,1.0
88,74.05221853407555,go,1.0
91,76.05454104048347,go,1.0
94,79.32766755910615,go,1.0
97,82.32376713260354,nogo,1.0
100,84.34344676771374,go,1.0
103,87.2912063996725,go,1.0
106,89.3316760165613,go,1.0
109,91.43735012835201,go,1.0
112,93.76792631005534,go,1.0
115,97.17712942051739,go,1.0
118,99.59795900182394,go,1.0
121,101.72865909292163,nogo,1.0
124,103.73975815575224,go,1.0
127,106.07377315388628,go,1.0
130,108.58835139388692,go,1.0
133,110.62415509269653,go,1.0
136,113.74357853831579,go,1.0
139,117.80851943583461,go,1.0
142,120.47892123469919,go,1.0
145,122.49224416387436,go,1.0
148,124.57646831575762,go,1.0
151,126.75803316102166,go,1.0
154,129.23782847564934,go,1.0
157,131.63784484382916,go,1.0
160,135.93176117676393,go,1.0
163,138.3115469753319,nogo,1.0
166,140.5239370511883,go,1.0
169,142.919616017462,nogo,1.0
172,145.0724878206435,go,1.0
175,147.5695773959299,nogo,1.0
178,149.84326923343355,go,1.0
181,152.02547077824704,go,1.0
184,154.43179852137686,go,1.0
187,157.07642931611323,go,1.0
190,164.57642931611323,break_message,4.0
193,176.00920668620805,go,1.0
196,178.17808480941756,go,1.0
199,180.31865423309034,go,1.0
202,184.06123036739493,go,1.0
205,186.46530847638897,nogo,1.0
208,188.83318107209413,nogo,1.0
211,192.1769735809258,go,1.0
214,194.32515629287877,nogo,1.0
217,196.3703534017684,go,1.0
220,198.37246421254827,go,1.0
223,200.5440648708883,go,1.0
226,203.02212651365377,go,1.0
229,205.4187997626506,go,1.0
232,207.55385674168633,go,1.0
235,210.37107473967222,go,1.0
238,212.43356689414713,go,1.0
241,214.470653008491,go,1.0
244,216.6871338489565,go,1.0
247,219.14247490557665,go,1.0
250,221.38548657957415,nogo,1.0
253,223.41415095047975,nogo,1.0
256,225.698891854027,nogo,1.0
259,228.78447592825995,go,1.0
262,231.0881243762145,go,1.0
265,233.2151024182867,go,1.0
268,236.49733254791283,go,1.0
271,238.66999052739257,go,1.0
274,240.71293610739278,go,1.0
277,242.79040320963082,go,1.0
280,244.8406348422573,go,1.0
283,247.96089835102546,go,1.0
286,250.0215908760029,go,1.0
289,252.35973017042264,go,1.0
292,256.3618278315795,go,1.0
295,260.5587551595225,go,1.0
298,262.9646093951771,go,1.0
301,265.8076533200641,go,1.0
304,268.83104395137826,go,1.0
307,271.28346059143814,nogo,1.0
310,273.70192058198694,go,1.0
313,277.66977088933146,go,1.0
316,280.09003793391537,go,1.0
319,282.2014283836235,nogo,1.0
322,284.2576210415886,go,1.0
325,288.0526832469682,go,1.0
328,290.70776731812634,go,1.0
331,292.99910888947863,go,1.0
334,295.17798565341445,go,1.0
337,297.48984174934543,go,1.0
340,300.42246336178994,go,1.0
343,303.0255349917892,go,1.0
346,305.3619726167529,go,1.0
349,307.80443726305884,go,1.0
352,310.5425906403998,go,1.0
355,313.86343081118747,go,1.0
358,316.11025508962257,go,1.0
361,318.505878246724,go,1.0
364,320.7691564509246,go,1.0
367,322.9457477476233,go,1.0
370,325.1295631247825,go,1.0
373,327.2535967844989,nogo,1.0
376,329.25745074727456,go,1.0
379,331.775625283279,go,1.0
382,339.275625283279,break_message,4.0
385,350.11108737385916,go,1.0
388,352.15913924172366,go,1.0
391,354.3019450546626,go,1.0
394,356.51250913402635,go,1.0
397,358.5368868081604,go,1.0
400,361.5183565812281,go,1.0
403,363.52138533245704,go,1.0
406,365.7368609063737,go,1.0
409,367.9193955985338,go,1.0
412,370.35771334567903,go,1.0
415,373.83200950414215,go,1.0
418,376.3650179902224,go,1.0
421,378.39060884684443,go,1.0
424,380.4987947608741,go,1.0
427,382.7560021680981,nogo,1.0
430,386.06664308308837,nogo,1.0
433,388.0771145129488,go,1.0
436,390.7468377605612,nogo,1.0
439,392.78252062122766,go,1.0
442,395.18512199211744,go,1.0
445,397.4707627805836,nogo,1.0
448,399.5167480145267,go,1.0
451,401.5668181411651,go,1.0
454,403.6149167209451,go,1.0
457,405.8188582651386,go,1.0
460,408.0574285861322,go,1.0
463,410.41020362672145,go,1.0
466,412.52770960545666,go,1.0
469,414.97165743817334,go,1.0
472,417.49796577688846,go,1.0
475,419.734498638302,go,1.0
478,422.1752230354097,go,1.0
481,424.27043273085485,go,1.0
484,427.20657985002316,go,1.0
487,429.4504394622483,go,1.0
490,431.4641659385942,nogo,1.0
493,433.80023392295226,go,1.0
496,436.39120604610736,go,1.0
499,438.40289909634134,go,1.0
502,441.8950626796752,go,1.0
505,443.9906759722341,nogo,1.0
508,446.03529666750933,go,1.0
511,448.2163259095918,go,1.0
514,450.4039418620853,nogo,1.0
517,452.58012367664736,go,1.0
520,454.7916733220776,go,1.0
523,456.85875535523866,go,1.0
526,460.18140573540563,go,1.0
529,463.18948516897706,go,1.0
532,465.3938952149363,go,1.0
535,467.4512399770484,go,1.0
538,469.7920521613743,go,1.0
541,472.656154493452,go,1.0
544,475.1130247823641,go,1.0
547,477.1483709190909,nogo,1.0
550,481.2165396238334,go,1.0
553,483.23624757682416,go,1.0
