,onset,trial_type,duration
1,2.4992595110043183,starter_trial,1.0
4,4.52000582008234,starter_trial,1.0
7,6.824779223002549,two_back,1.0
10,8.878181711077014,two_back,1.0
13,11.821571966214046,two_back,1.0
16,13.830923075745265,two_back,1.0
19,16.467441116183604,two_back,1.0
22,18.803762613315254,two_back,1.0
25,20.98073214133537,two_back,1.0
28,23.14285059585975,two_back,1.0
31,25.176582538811335,two_back,1.0
34,27.18263931279418,two_back,1.0
37,29.42887597409554,two_back,1.0
40,31.875260601122502,two_back,1.0
43,33.875260601122505,break_message,4.0
46,38.94739374243033,starter_trial,1.0
49,40.96969209318707,one_back,1.0
52,43.20232905604211,one_back,1.0
55,45.27797598593307,one_back,1.0
58,47.351668394071865,one_back,1.0
61,49.37805032403224,one_back,1.0
64,51.63158937658103,one_back,1.0
67,54.296031272083866,one_back,1.0
70,56.49265798012275,one_back,1.0
73,58.539435986734645,one_back,1.0
76,62.11314759044748,one_back,1.0
79,64.36056517610156,one_back,1.0
82,66.37327287773239,one_back,1.0
85,68.37327287773239,break_message,4.0
88,73.49541068281948,starter_trial,1.0
91,76.02996414867484,starter_trial,1.0
94,78.42050482580966,two_back,1.0
97,80.66575774644971,two_back,1.0
100,82.6961775090614,two_back,1.0
103,85.00517192814523,two_back,1.0
106,87.04098544809364,two_back,1.0
109,89.61293440248318,two_back,1.0
112,91.67959924964983,two_back,1.0
115,93.77106381604386,two_back,1.0
118,96.00197314300343,two_back,1.0
121,98.14317829941088,two_back,1.0
124,100.6893784394053,two_back,1.0
127,102.7177829983865,two_back,1.0
130,104.7177829983865,break_message,4.0
133,109.81133428154621,starter_trial,1.0
136,112.64476161028051,one_back,1.0
139,115.67522153174014,one_back,1.0
142,117.67702532073454,one_back,1.0
145,119.76408906294577,one_back,1.0
148,121.81063300864061,one_back,1.0
151,124.07774830868219,one_back,1.0
154,126.20560321430143,one_back,1.0
157,129.1638900933579,one_back,1.0
160,133.05484505488525,one_back,1.0
163,135.50038209887205,one_back,1.0
166,137.6436947986805,one_back,1.0
169,139.86942536251016,one_back,1.0
172,141.86942536251016,break_message,4.0
175,147.0363030180318,starter_trial,1.0
178,149.71412912431623,starter_trial,1.0
181,152.47355194126231,two_back,1.0
184,155.39416991869584,two_back,1.0
187,158.39042825993417,two_back,1.0
190,160.64517295523714,two_back,1.0
193,164.19958538180188,two_back,1.0
196,166.7031082867675,two_back,1.0
199,168.93633171181762,two_back,1.0
202,171.48495662902485,two_back,1.0
205,173.64315321161598,two_back,1.0
208,176.03886509354047,two_back,1.0
211,178.15900392412192,two_back,1.0
214,180.3677515834357,two_back,1.0
217,182.3677515834357,break_message,4.0
220,188.39750138700816,starter_trial,1.0
223,191.3883785394742,one_back,1.0
226,193.4269538524925,one_back,1.0
229,196.27211624689411,one_back,1.0
232,198.32437018467118,one_back,1.0
235,200.39340245735391,one_back,1.0
238,202.41003552833345,one_back,1.0
241,204.605288123948,one_back,1.0
244,209.4893184329476,one_back,1.0
247,212.7743656967664,one_back,1.0
250,215.01879740125935,one_back,1.0
253,217.20633116521046,one_back,1.0
256,219.8166173846468,one_back,1.0
259,221.8166173846468,break_message,4.0
262,226.8532809287657,starter_trial,1.0
265,229.43327444303117,starter_trial,1.0
268,231.44478519738246,two_back,1.0
271,235.516635827763,two_back,1.0
274,237.941876822722,two_back,1.0
277,240.13572199615166,two_back,1.0
280,242.23992942066317,two_back,1.0
283,244.32307357713833,two_back,1.0
286,246.88566703676526,two_back,1.0
289,248.95242338857577,two_back,1.0
292,251.0341811260779,two_back,1.0
295,253.3257337899505,two_back,1.0
298,255.74248335248183,two_back,1.0
301,258.16365682881656,two_back,1.0
304,260.16365682881656,break_message,4.0
307,266.57679699564125,starter_trial,1.0
310,270.2113400303343,one_back,1.0
313,272.4545641419593,one_back,1.0
316,275.8821570433832,one_back,1.0
319,278.1840569456528,one_back,1.0
322,280.72467404377,one_back,1.0
325,282.95562963032063,one_back,1.0
328,285.1190982120712,one_back,1.0
331,287.57255795103595,one_back,1.0
334,290.2208955154491,one_back,1.0
337,292.54847289112973,one_back,1.0
340,294.57145522273055,one_back,1.0
343,296.6605898965382,one_back,1.0
346,298.6605898965382,break_message,4.0
349,304.07683998720046,starter_trial,1.0
352,306.64777630686973,starter_trial,1.0
355,309.24921298895435,two_back,1.0
358,311.85979718062333,two_back,1.0
361,314.8937837980188,two_back,1.0
364,316.91672429742175,two_back,1.0
367,319.6059321171799,two_back,1.0
370,322.8946204106962,two_back,1.0
373,325.5298307580948,two_back,1.0
376,327.8992662845701,two_back,1.0
379,330.0366426248731,two_back,1.0
382,332.7971179663421,two_back,1.0
385,335.2907524475185,two_back,1.0
388,338.95866176310295,two_back,1.0
391,340.95866176310295,break_message,4.0
394,346.06136151414046,starter_trial,1.0
397,348.3695365185144,one_back,1.0
400,350.379304857924,one_back,1.0
403,352.4953371623662,one_back,1.0
406,354.5080389376278,one_back,1.0
409,357.21686871766843,one_back,1.0
412,359.3369195752326,one_back,1.0
415,361.37297094789193,one_back,1.0
418,364.82824336572924,one_back,1.0
421,366.8292713082656,one_back,1.0
424,368.99720615756473,one_back,1.0
427,371.1943181701643,one_back,1.0
430,373.1982235897679,one_back,1.0
433,375.1982235897679,break_message,4.0
