,onset,trial_type,duration
1,3.219503671011756,emc,14.0
9,17.219503671011758,recall,7.0
11,27.351109759603137,emc,14.0
19,41.35110975960313,recall,7.0
21,57.22789681001929,emc,14.0
29,71.22789681001929,recall,7.0
31,80.9237821785608,emc,14.0
39,94.9237821785608,recall,7.0
41,107.67160048573669,emc,14.0
49,121.67160048573669,recall,7.0
51,131.52802062398257,emc,14.0
59,145.52802062398257,recall,7.0
61,160.42587536361992,emc,14.0
69,174.42587536361992,recall,7.0
71,184.6657623935277,emc,14.0
79,198.6657623935277,recall,7.0
81,211.6657623935277,break_message,4.0
84,225.13386224310185,emc,14.0
92,239.13386224310185,recall,7.0
94,248.37088332972382,emc,14.0
102,262.3708833297238,recall,7.0
104,271.83788314800506,emc,14.0
112,285.83788314800506,recall,7.0
114,296.2640330632709,emc,14.0
122,310.2640330632709,recall,7.0
124,326.28906745647794,emc,14.0
132,340.28906745647794,recall,7.0
134,351.68802889909267,emc,14.0
142,365.68802889909267,recall,7.0
144,374.89968802001044,emc,14.0
152,388.89968802001044,recall,7.0
154,402.23324460081443,emc,14.0
162,416.23324460081443,recall,7.0
164,429.23324460081443,break_message,4.0
167,442.5851294966462,emc,14.0
175,456.5851294966462,recall,7.0
177,465.74244280789907,emc,14.0
185,479.74244280789907,recall,7.0
187,494.7185751004663,emc,14.0
195,508.7185751004663,recall,7.0
197,518.4077458339078,emc,14.0
205,532.4077458339078,recall,7.0
207,545.541644002184,emc,14.0
215,559.541644002184,recall,7.0
217,571.3065238650488,emc,14.0
225,585.3065238650488,recall,7.0
227,602.2497603464033,emc,14.0
235,616.2497603464033,recall,7.0
237,631.4498817675917,emc,14.0
245,645.4498817675917,recall,7.0
247,658.4498817675917,break_message,4.0
