,onset,trial_type,duration
1,0.7642148963980939,cue_cti_stim_valid_cue_400,1.5
4,3.4954547688622757,cue_cti_stim_double_cue_400,1.5
7,6.228738398511102,cue_cti_stim_invalid_cue_400,1.5
10,9.092021375385416,cue_cti_stim_double_cue_400,1.5
13,11.59337226404023,cue_cti_stim_double_cue_400,1.5
16,14.40328099096937,cue_cti_stim_double_cue_400,1.5
19,18.516051616131097,cue_cti_stim_valid_cue_400,1.5
22,21.08096936979546,cue_cti_stim_valid_cue_400,1.5
25,23.89554857550756,cue_cti_stim_valid_cue_400,1.5
28,27.24167811720949,cue_cti_stim_no_cue_400,1.5
31,30.17498959302752,cue_cti_stim_double_cue_400,1.5
34,32.9084248030877,cue_cti_stim_no_cue_400,1.5
37,35.49219695131973,cue_cti_stim_valid_cue_400,1.5
40,38.05330088286709,cue_cti_stim_no_cue_400,1.5
43,41.031262877429555,cue_cti_stim_valid_cue_400,1.5
46,44.13425749047958,cue_cti_stim_double_cue_400,1.5
49,47.073114214113275,cue_cti_stim_no_cue_400,1.5
52,49.641947325311904,cue_cti_stim_no_cue_400,1.5
55,52.6862304816563,cue_cti_stim_no_cue_400,1.5
58,55.7506282364564,cue_cti_stim_valid_cue_400,1.5
61,58.41377365982976,cue_cti_stim_valid_cue_400,1.5
64,61.40458647291973,cue_cti_stim_double_cue_400,1.5
67,63.92411573124823,cue_cti_stim_valid_cue_400,1.5
70,66.4618735039655,cue_cti_stim_invalid_cue_400,1.5
73,69.15399260845561,cue_cti_stim_double_cue_400,1.5
76,75.02767431471325,cue_cti_stim_double_cue_400,1.5
79,78.33032083827968,cue_cti_stim_double_cue_400,1.5
82,80.95518530725319,cue_cti_stim_double_cue_400,1.5
85,83.4820673720905,cue_cti_stim_double_cue_400,1.5
88,86.23387418057362,cue_cti_stim_no_cue_400,1.5
91,88.8441470498935,cue_cti_stim_valid_cue_400,1.5
94,91.69730892286287,cue_cti_stim_valid_cue_400,1.5
97,94.2890751996606,cue_cti_stim_valid_cue_400,1.5
100,97.32057025510427,cue_cti_stim_no_cue_400,1.5
103,99.98514279959166,cue_cti_stim_valid_cue_400,1.5
106,102.53218818977268,cue_cti_stim_no_cue_400,1.5
109,105.50127560354066,cue_cti_stim_no_cue_400,1.5
112,108.82154486212139,cue_cti_stim_valid_cue_400,1.5
115,112.13793943960482,cue_cti_stim_no_cue_400,1.5
118,115.92910813573472,cue_cti_stim_invalid_cue_400,1.5
121,118.90075970986123,cue_cti_stim_no_cue_400,1.5
124,121.46607579165594,cue_cti_stim_no_cue_400,1.5
127,124.93221644794684,cue_cti_stim_valid_cue_400,1.5
130,127.58132351072962,cue_cti_stim_no_cue_400,1.5
133,130.17489768040903,cue_cti_stim_double_cue_400,1.5
136,133.0924494244765,cue_cti_stim_no_cue_400,1.5
139,136.3050017804051,cue_cti_stim_no_cue_400,1.5
142,139.11945648285587,cue_cti_stim_invalid_cue_400,1.5
145,142.14335397529112,cue_cti_stim_double_cue_400,1.5
148,144.92372326177968,cue_cti_stim_invalid_cue_400,1.5
151,147.96552186962123,cue_cti_stim_no_cue_400,1.5
154,151.60376132696035,cue_cti_stim_double_cue_400,1.5
157,155.03550012684522,cue_cti_stim_double_cue_400,1.5
160,158.0280905338038,cue_cti_stim_no_cue_400,1.5
163,162.05853647960188,cue_cti_stim_no_cue_400,1.5
166,165.09216649303443,cue_cti_stim_double_cue_400,1.5
169,168.34091141302807,cue_cti_stim_no_cue_400,1.5
172,170.8675140246505,cue_cti_stim_no_cue_400,1.5
175,173.393855735321,cue_cti_stim_double_cue_400,1.5
178,175.93993836245807,cue_cti_stim_double_cue_400,1.5
