,onset,trial_type,duration
1,1.996270520838889,go,1.0
4,4.044092054312419,stop,1.0
7,6.128393500683669,go,1.0
10,9.368315161195344,stop,1.0
13,11.498065619575547,go,1.0
16,13.647063780323027,go,1.0
19,18.261405128418172,stop,1.0
22,21.884908955612985,go,1.0
25,24.18608509274371,go,1.0
28,26.46129547769761,stop,1.0
31,28.596838332049636,stop,1.0
34,31.022773615661418,go,1.0
37,33.20422926006634,go,1.0
40,35.901098325766,stop,1.0
43,38.79224546915361,go,1.0
46,40.87115699442447,go,1.0
49,43.4871974134471,go,1.0
52,45.751346975436405,stop,1.0
55,48.08941651679616,stop,1.0
58,50.106871090606646,stop,1.0
61,52.381065579207615,go,1.0
64,54.53897837693018,go,1.0
67,56.558687354087,go,1.0
70,58.83620011997187,go,1.0
73,60.903729781700875,go,1.0
76,63.116051073529185,go,1.0
79,65.70945549534576,go,1.0
82,67.81211218176628,stop,1.0
85,70.37590418591058,stop,1.0
88,72.54955855970474,go,1.0
91,75.60438221095484,stop,1.0
94,80.5455331541707,go,1.0
97,82.95325753199526,stop,1.0
100,85.06879232547885,go,1.0
103,87.3321033091916,go,1.0
106,89.94748795546744,go,1.0
109,92.63502782220475,go,1.0
112,94.66020284013331,go,1.0
115,96.67745024839056,go,1.0
118,98.72096956391619,stop,1.0
121,101.23160805200564,go,1.0
124,103.3750059473507,go,1.0
127,105.7068966078883,stop,1.0
130,108.6162942785989,go,1.0
133,110.62042150247163,go,1.0
136,114.36674545948291,stop,1.0
139,116.92736426410143,stop,1.0
142,119.42876365805778,stop,1.0
145,121.73819096842013,go,1.0
148,123.79313022824392,go,1.0
151,125.94289603129631,go,1.0
154,128.52885364029842,go,1.0
157,130.68018719507725,go,1.0
160,133.1408335836394,stop,1.0
163,135.23328794701953,go,1.0
166,138.321518910456,go,1.0
169,140.37538321748542,go,1.0
172,142.54994581062635,go,1.0
175,144.65822202545806,stop,1.0
178,146.98331437975267,go,1.0
181,154.48331437975267,break_message,4.0
184,165.76618256952375,go,1.0
187,168.27310268561055,go,1.0
190,171.0267981562644,go,1.0
193,173.28678360558388,stop,1.0
196,175.47972986491396,go,1.0
199,177.54729696761964,stop,1.0
202,179.64142999470076,go,1.0
205,181.8798067426133,stop,1.0
208,183.91491734379264,go,1.0
211,186.08562255905645,go,1.0
214,188.4015443280464,go,1.0
217,190.4500668735242,go,1.0
220,193.29090933693936,stop,1.0
223,195.3938388741041,go,1.0
226,197.77159036053718,stop,1.0
229,200.18765287700913,stop,1.0
232,203.73102010052057,go,1.0
235,205.93796807982034,stop,1.0
238,208.26851830199755,go,1.0
241,210.8730769099879,go,1.0
244,213.23642784070273,go,1.0
247,215.91285382995548,go,1.0
250,217.9249425843118,stop,1.0
253,220.1734494353029,go,1.0
256,222.4102458617232,go,1.0
259,224.45137039821003,go,1.0
262,226.5517270135124,go,1.0
265,228.67128770806454,go,1.0
268,231.80293334908296,go,1.0
271,235.36685713467386,go,1.0
274,237.44579304005026,stop,1.0
277,239.51763934774687,go,1.0
280,242.80216952075884,stop,1.0
283,245.9747126902332,go,1.0
286,249.10011359245237,go,1.0
289,251.15627123834227,go,1.0
292,253.28552123951877,go,1.0
295,256.3016702718031,go,1.0
298,258.69902733085405,stop,1.0
301,260.7931009237969,stop,1.0
304,264.5584134751466,stop,1.0
307,266.7036158722171,go,1.0
310,269.37885075716247,go,1.0
313,271.68452649079455,go,1.0
316,273.9117289951071,go,1.0
319,278.53311781784913,go,1.0
322,280.8659188358672,go,1.0
325,284.0399536771778,go,1.0
328,286.0936074817015,stop,1.0
331,288.6382854413232,stop,1.0
334,290.79837151285903,stop,1.0
337,293.5314152943719,stop,1.0
340,296.2077540666268,stop,1.0
343,299.05207726389364,go,1.0
346,301.0554569553306,go,1.0
349,303.3721729081825,stop,1.0
352,305.3868326379859,stop,1.0
355,307.8213505357501,go,1.0
358,309.98161668503803,go,1.0
361,312.62579628856514,go,1.0
364,320.12579628856514,break_message,4.0
367,331.36554926222533,stop,1.0
370,333.53117130792185,stop,1.0
373,335.9141085111228,go,1.0
376,338.0690959906026,go,1.0
379,340.7903329380024,stop,1.0
382,343.39696993659595,go,1.0
385,345.76416013539637,stop,1.0
388,347.81311691118236,stop,1.0
391,349.9290778634607,go,1.0
394,352.12560419136605,go,1.0
397,355.40245603456907,stop,1.0
400,357.89712546133046,go,1.0
403,360.25298529553515,go,1.0
406,362.3278652199828,stop,1.0
409,364.56640940330846,go,1.0
412,366.93942367590154,go,1.0
415,369.00105272738716,go,1.0
418,371.2638078946257,stop,1.0
421,373.82643765817176,go,1.0
424,376.0162974377335,stop,1.0
427,378.7644940485824,stop,1.0
430,380.9713338035166,stop,1.0
433,383.2627853149571,stop,1.0
436,385.3578613076449,go,1.0
439,387.36956550406717,go,1.0
442,390.2842930433811,go,1.0
445,392.3146610187273,go,1.0
448,394.85330229999926,go,1.0
451,396.90239276623095,go,1.0
454,399.047474675258,stop,1.0
457,401.5583027456099,go,1.0
460,403.8012739388052,stop,1.0
463,407.2512275836748,go,1.0
466,409.96090633665665,stop,1.0
469,412.41905943474603,go,1.0
472,414.4513616660145,go,1.0
475,416.5586577139739,go,1.0
478,418.83847359551305,go,1.0
