,onset,trial_type,duration
1,0.8781456294865337,feat_high,1.5
4,4.038654044491494,con_low,1.5
7,6.753985465013298,feat_low,1.5
10,9.590002758865205,con_low,1.5
13,12.734326543638247,feat_low,1.5
16,15.269421594452556,con_high,1.5
19,18.184868686138252,con_low,1.5
22,20.89311079994807,feat_high,1.5
25,24.174525836023967,con_high,1.5
28,26.82760049528606,feat_low,1.5
31,29.59619759912909,feat_low,1.5
34,32.15173462068324,feat_high,1.5
37,34.892969448955206,feat_high,1.5
40,37.849775634157716,con_high,1.5
43,40.41034708904887,feat_low,1.5
46,43.01996042215884,con_high,1.5
49,45.58843044729888,con_low,1.5
52,48.233786947174124,feat_high,1.5
55,51.48105474916291,feat_high,1.5
58,54.142322934014686,feat_low,1.5
61,56.929734949764175,feat_high,1.5
64,60.335393112105656,con_low,1.5
67,63.52890407830392,con_high,1.5
70,66.90001147346428,con_high,1.5
73,71.81450151177087,con_high,1.5
76,74.33379914560173,con_high,1.5
79,76.83586302413171,con_low,1.5
82,79.83322103754655,con_low,1.5
85,82.88396162136537,feat_low,1.5
88,85.39349108366343,feat_high,1.5
91,88.88505394983403,feat_high,1.5
94,91.85883130496492,feat_low,1.5
97,94.3858685167543,feat_high,1.5
100,96.89194242157271,feat_low,1.5
103,99.53463615913353,feat_high,1.5
106,102.16212737260379,con_low,1.5
109,104.94506791168757,feat_high,1.5
112,107.75469618206337,con_high,1.5
115,110.26679070971002,con_low,1.5
118,113.87688655066519,con_high,1.5
121,116.54585325359272,con_low,1.5
124,120.09116487528274,con_low,1.5
127,122.85061773608028,con_low,1.5
130,127.30437918346249,feat_low,1.5
133,130.16957704377805,con_high,1.5
136,134.8581621195631,feat_low,1.5
139,137.42521373800847,con_high,1.5
142,140.25880609116527,con_high,1.5
145,144.36878510779783,feat_low,1.5
148,146.95171387785345,con_high,1.5
151,149.82044997380274,feat_low,1.5
154,152.4296793092355,con_low,1.5
157,154.94577159002665,feat_high,1.5
160,158.214903353511,feat_low,1.5
163,160.86786551347882,feat_low,1.5
166,165.49206272088298,con_high,1.5
169,168.85193658060615,con_low,1.5
172,173.20694270073926,con_low,1.5
175,176.09532655390674,feat_low,1.5
178,178.77769023013445,con_low,1.5
181,181.5872959794222,con_high,1.5
184,184.34850251161598,feat_high,1.5
187,186.98502647097342,feat_high,1.5
190,189.90906151664288,feat_high,1.5
193,197.90906151664288,break_message,4.0
196,209.262744407105,feat_low,1.5
199,211.94609381857913,con_low,1.5
202,214.75698596176576,con_high,1.5
205,218.49471276627696,con_high,1.5
208,221.32989640165806,feat_high,1.5
211,224.59690299149094,con_high,1.5
214,227.59212474168208,con_high,1.5
217,230.19258466263094,feat_high,1.5
220,232.86250777352112,con_low,1.5
223,235.95523236299988,feat_high,1.5
226,238.59159357387495,con_high,1.5
229,241.39660747592026,con_low,1.5
232,244.7885312062592,con_low,1.5
235,248.07508760501221,con_high,1.5
238,250.9061821852043,feat_low,1.5
241,253.6221240799254,feat_high,1.5
244,256.6186894162093,feat_low,1.5
247,259.4753987631557,con_low,1.5
250,262.1965974149141,con_low,1.5
253,264.74978219686653,con_low,1.5
256,267.3585416606653,feat_low,1.5
259,270.02991644271304,feat_low,1.5
262,272.5624734811983,con_low,1.5
265,275.24936358459644,feat_low,1.5
268,278.59335374660054,con_high,1.5
271,281.1244507125804,feat_low,1.5
274,283.9840496827777,feat_low,1.5
277,288.3744301227913,feat_low,1.5
280,290.8952304825664,feat_high,1.5
283,295.8505227023325,feat_low,1.5
286,298.61698332515186,feat_low,1.5
289,301.15976046605545,feat_low,1.5
292,304.0823050649015,con_high,1.5
295,306.97005578788776,con_low,1.5
298,310.93053175399723,con_low,1.5
301,313.6017983090906,feat_high,1.5
304,316.8406271466029,con_low,1.5
307,319.3406335570387,con_low,1.5
310,321.9610151903585,feat_high,1.5
313,324.907453139665,con_low,1.5
316,328.5840851660203,feat_low,1.5
319,331.3881746797712,con_high,1.5
322,334.5033553474406,con_high,1.5
325,337.1098522801673,feat_low,1.5
328,339.842300830951,feat_low,1.5
331,342.44889870960833,con_low,1.5
334,345.01763277905354,con_high,1.5
337,347.61045377226054,con_high,1.5
340,351.34939889490045,con_high,1.5
343,354.53004141127707,feat_high,1.5
346,357.0371684751679,feat_low,1.5
349,360.28606045741725,feat_high,1.5
352,363.02015267293115,feat_high,1.5
355,366.1766877429207,feat_high,1.5
358,368.8860518036702,feat_high,1.5
361,372.00422609082085,con_high,1.5
364,374.7644569633518,feat_high,1.5
367,378.14797137030143,con_low,1.5
370,381.7369186412124,feat_high,1.5
373,384.2684951688459,con_high,1.5
376,386.89566866540423,feat_high,1.5
379,390.3699610996617,con_high,1.5
382,393.1817553563376,con_low,1.5
385,395.81443581373384,feat_high,1.5
388,403.81443581373384,break_message,4.0
391,414.71516875184767,con_low,1.5
394,417.24458367947796,feat_low,1.5
397,419.79172136288895,feat_high,1.5
400,422.43186461787394,feat_low,1.5
403,426.01008219010976,con_high,1.5
406,428.6615182672964,feat_high,1.5
409,431.2021042361181,feat_low,1.5
412,434.42154524222195,con_high,1.5
415,437.3527549329281,con_high,1.5
418,439.8952861065928,feat_high,1.5
421,442.9972112551209,con_high,1.5
424,445.6029488339646,con_low,1.5
427,448.11920380062094,con_low,1.5
430,450.6766314700971,con_low,1.5
433,453.25594473898326,con_high,1.5
436,455.75978062197856,feat_high,1.5
439,458.5488902181468,feat_high,1.5
442,462.0150055871238,con_high,1.5
445,466.74327441392273,con_low,1.5
448,469.40955068256113,con_high,1.5
451,472.9380530796083,feat_low,1.5
454,475.45710200638143,feat_high,1.5
457,477.97206499027243,feat_low,1.5
460,480.6532971398132,con_low,1.5
463,483.2425546659745,con_low,1.5
466,486.2107449455354,con_low,1.5
469,490.2889400528219,con_high,1.5
472,493.0647228761866,feat_high,1.5
475,496.11247079520246,con_high,1.5
478,498.80934645567214,feat_high,1.5
481,501.5816365569401,feat_high,1.5
484,504.2169589318827,con_low,1.5
487,506.92532267971524,con_low,1.5
490,510.75004742415507,feat_low,1.5
493,513.8835857858392,feat_low,1.5
496,516.5527336890215,con_high,1.5
499,520.3384614400101,feat_high,1.5
502,523.8235886411472,feat_low,1.5
505,526.4926258993943,con_low,1.5
508,529.6377959993404,con_low,1.5
511,532.7658880579147,feat_high,1.5
514,535.7507690128585,feat_low,1.5
517,538.3574202512617,con_high,1.5
520,541.0379289119876,feat_low,1.5
523,544.0214173739421,feat_high,1.5
526,546.8977891628149,feat_high,1.5
529,549.6163954228931,feat_low,1.5
532,552.1860405044049,con_low,1.5
535,555.0921237084525,con_low,1.5
538,557.6519936605326,feat_high,1.5
541,560.5048508593586,feat_low,1.5
544,564.7180036896777,feat_high,1.5
547,567.2894969595153,con_high,1.5
550,569.8318938125983,con_low,1.5
553,572.7562491851355,con_high,1.5
556,576.9958013855784,con_high,1.5
559,579.5585089510926,feat_low,1.5
562,582.1259573759038,feat_high,1.5
565,585.2157870868753,feat_low,1.5
568,588.4005301716712,feat_low,1.5
571,591.2777802912085,con_low,1.5
574,593.8174803504329,con_high,1.5
577,596.7648545783023,feat_low,1.5
580,599.7487061627742,con_high,1.5
583,607.7487061627742,break_message,4.0
