Unnamed: 0,onset,trial_type,duration
1,2.3118097668523605,emc,14.0
9,16.31180976685236,recall,5.0
11,23.821932209440536,emc,14.0
19,37.82193220944053,recall,5.0
21,46.77973195005029,emc,14.0
29,60.77973195005029,recall,5.0
31,73.08631875235388,emc,14.0
39,87.08631875235388,recall,5.0
41,97.99272416425968,emc,14.0
49,111.99272416425968,recall,5.0
51,120.4971080811568,emc,14.0
59,134.4971080811568,recall,5.0
61,143.78672608830047,emc,14.0
69,157.78672608830047,recall,5.0
71,170.6038517951146,emc,14.0
79,184.6038517951146,recall,5.0
81,195.6038517951146,break_message,4.0
84,209.39372686496404,emc,14.0
92,223.39372686496404,recall,5.0
94,230.64910293023453,emc,14.0
102,244.64910293023453,recall,5.0
104,251.72358445607335,emc,14.0
112,265.72358445607335,recall,5.0
114,279.57854645430524,emc,14.0
122,293.57854645430524,recall,5.0
124,302.938458871443,emc,14.0
132,316.938458871443,recall,5.0
134,324.8433907872805,emc,14.0
142,338.8433907872805,recall,5.0
144,347.98213951851136,emc,14.0
152,361.98213951851136,recall,5.0
154,369.124544785407,emc,14.0
162,383.124544785407,recall,5.0
164,394.124544785407,break_message,4.0
167,410.4631735343946,emc,14.0
175,424.4631735343946,recall,5.0
177,431.5584053399062,emc,14.0
185,445.5584053399062,recall,5.0
187,457.4179090574697,emc,14.0
195,471.4179090574697,recall,5.0
197,483.27769471621747,emc,14.0
205,497.27769471621747,recall,5.0
207,504.6748417408608,emc,14.0
215,518.6748417408608,recall,5.0
217,528.8535188687446,emc,14.0
225,542.8535188687446,recall,5.0
227,562.247241815086,emc,14.0
235,576.247241815086,recall,5.0
237,584.4842217082883,emc,14.0
245,598.4842217082883,recall,5.0
247,609.4842217082883,break_message,4.0
